nome,cpf,endereco,telefone,email,dataNascimento,saldo
igor gabriel,08573459310,sitio,88994463311,igor@gmail.com,08/10/2002igdgfdg,fdgfdgfdgd,fdgfdgfdgfdg,gdgdgdg,gdgfdgfdgd,fsfsfsdfsd,0
igor,08573459310,vila,88994463311,igor.gabriel@gmail.com,10/08/2019,0
igor,ffdgf,dfgf,gfdg,fdgf,dgfdg,0
fgdhdfh,hfg,h,fgh,fg,hfg,0
ggfgfgf,hfghfgh,fg,hhfg,hhgf,fghfghg,0
reetert,terterte,yreytey,trytrytry,yrytrytr,rtytrytr,0
fgfdg,dfgfdgfdg,fdgfd,gf,dgfdgdfg,dgsdgsd,0
igor,fdfsdfsd,sdgsdgsdg,fsdfsdfsdfsd,sdfsdfsfs,sfsdfsdfsd,0
igo,ddsdf,ssfsdfsd,fsdfsd,fsdf,sd,0
dfdsdfs,fsdfsdfsd,fsdf,sdf,sdf,sdfsdssds,0
dsdhfsdjfhjksd,dfjsdfhsdjfsd,sdfjsdfjsdfj,dsjfsbdfjsjf,sfdfdsfsdjk,dgsdkghsd,0
fjdfgdog,fdfdgfdjngjkgfdg,gjdngjkdjkgfdnjkg,dfgfdjgjdgfd,gfdgfdgfd,bhefbhef,0
sdfsduhfishdjif,dkfksdnfksdf,fdkfsdnfnskfs,sdmkfsdkfksldf,sdfsdnkfsnkfsd,sdfsfskfs,0
